rand_excel;judet;denumire_companie;adresa_punct_lucru;query_cautare;link_google;link_facebook_search
30;ALBA;SC MUNTHEANA VET SRL;Str. Republicii, nr. 12, bl. R2, ap. 1;SC MUNTHEANA VET SRL cabinet veterinar ALBA Romania Str. Republicii, nr. 12, bl. R2, ap. 1;https://www.google.com/search?q=SC+MUNTHEANA+VET+SRL+cabinet+veterinar+ALBA+Romania+Str.+Republicii%2C+nr.+12%2C+bl.+R2%2C+ap.+1;https://www.facebook.com/search/top/?q=SC+MUNTHEANA+VET+SRL+ALBA
31;ALBA;SC MUNTHEANA VET SRL;Str. Alexandru Sahia, nr. 18, bl. 18;SC MUNTHEANA VET SRL cabinet veterinar ALBA Romania Str. Alexandru Sahia, nr. 18, bl. 18;https://www.google.com/search?q=SC+MUNTHEANA+VET+SRL+cabinet+veterinar+ALBA+Romania+Str.+Alexandru+Sahia%2C+nr.+18%2C+bl.+18;https://www.facebook.com/search/top/?q=SC+MUNTHEANA+VET+SRL+ALBA
32;ALBA;SC NERO VET FARM SRL;Str. Busericii, nr. 12;SC NERO VET FARM SRL cabinet veterinar ALBA Romania Str. Busericii, nr. 12;https://www.google.com/search?q=SC+NERO+VET+FARM+SRL+cabinet+veterinar+ALBA+Romania+Str.+Busericii%2C+nr.+12;https://www.facebook.com/search/top/?q=SC+NERO+VET+FARM+SRL+ALBA
33;ALBA;Dr. Harimed Vet;Lopadea Noua, nr. 147;Dr. Harimed Vet cabinet veterinar ALBA Romania Lopadea Noua, nr. 147;https://www.google.com/search?q=Dr.+Harimed+Vet+cabinet+veterinar+ALBA+Romania+Lopadea+Noua%2C+nr.+147;https://www.facebook.com/search/top/?q=Dr.+Harimed+Vet+ALBA
34;ALBA;Onivet Farm;Str. Motilor, nr. 36;Onivet Farm cabinet veterinar ALBA Romania Str. Motilor, nr. 36;https://www.google.com/search?q=Onivet+Farm+cabinet+veterinar+ALBA+Romania+Str.+Motilor%2C+nr.+36;https://www.facebook.com/search/top/?q=Onivet+Farm+ALBA
35;ALBA;Gaudea Vet;Str. Simion Bran, nr. 131;Gaudea Vet cabinet veterinar ALBA Romania Str. Simion Bran, nr. 131;https://www.google.com/search?q=Gaudea+Vet+cabinet+veterinar+ALBA+Romania+Str.+Simion+Bran%2C+nr.+131;https://www.facebook.com/search/top/?q=Gaudea+Vet+ALBA
36;ALBA;SC ZIAVET PLUS SRL;Str. Clujului, nr. 93;SC ZIAVET PLUS SRL cabinet veterinar ALBA Romania Str. Clujului, nr. 93;https://www.google.com/search?q=SC+ZIAVET+PLUS+SRL+cabinet+veterinar+ALBA+Romania+Str.+Clujului%2C+nr.+93;https://www.facebook.com/search/top/?q=SC+ZIAVET+PLUS+SRL+ALBA
37;ALBA;Teodora Farm Vet SRL;Sat Popestii de Jos, nr. 356;Teodora Farm Vet SRL cabinet veterinar ALBA Romania Sat Popestii de Jos, nr. 356;https://www.google.com/search?q=Teodora+Farm+Vet+SRL+cabinet+veterinar+ALBA+Romania+Sat+Popestii+de+Jos%2C+nr.+356;https://www.facebook.com/search/top/?q=Teodora+Farm+Vet+SRL+ALBA
38;ALBA;Aso Duovet SRL;Calea Turzii, nr. 90;Aso Duovet SRL cabinet veterinar ALBA Romania Calea Turzii, nr. 90;https://www.google.com/search?q=Aso+Duovet+SRL+cabinet+veterinar+ALBA+Romania+Calea+Turzii%2C+nr.+90;https://www.facebook.com/search/top/?q=Aso+Duovet+SRL+ALBA
39;ALBA;Alex Perfomancea SRL;Lucian Blaga, nr. 79A;Alex Perfomancea SRL cabinet veterinar ALBA Romania Lucian Blaga, nr. 79A;https://www.google.com/search?q=Alex+Perfomancea+SRL+cabinet+veterinar+ALBA+Romania+Lucian+Blaga%2C+nr.+79A;https://www.facebook.com/search/top/?q=Alex+Perfomancea+SRL+ALBA
