edition,company_id,slug,url,name,city
2026,1038510,frise-grooming-pet-shop-salon-canin-timisoara-frizerie-canina-salon-tuns-caini-si-pisici,https://www.top100ofromania.eu/company/1038510/frise-grooming-pet-shop-salon-canin-timisoara-frizerie-canina-salon-tuns-caini-si-pisici,"FrisÉ Grooming & Pet Shop-Salon Canin Timisoara,Frizerie",Timișoara
2026,6920510,astrodog-grooming-spa-frizerie-canina-si-felina-brasov,https://www.top100ofromania.eu/company/6920510/astrodog-grooming-spa-frizerie-canina-si-felina-brasov,Astrodog Grooming & SPA - Frizerie canină și,Brașov
2026,1036374,bellas-pet-salon-canin,https://www.top100ofromania.eu/company/1036374/bellas-pet-salon-canin,Bella's Pet Salon Canin,Baia Mare
2026,5726037,salon-canin-giroc-deea-dog-stylist,https://www.top100ofromania.eu/company/5726037/salon-canin-giroc-deea-dog-stylist,Salon canin Giroc - Deea Dog Stylist,Giroc
2026,5727038,frizerie-canina-diva-dog-buzau,https://www.top100ofromania.eu/company/5727038/frizerie-canina-diva-dog-buzau,Frizerie canina Diva Dog Buzau,Buzău
2026,6920307,frizerie-canina-voivodina,https://www.top100ofromania.eu/company/6920307/frizerie-canina-voivodina,Frizerie Canină Voivodina,Popești-Leordeni
2026,1035594,salon-cosmetica-canina-brasov,https://www.top100ofromania.eu/company/1035594/salon-cosmetica-canina-brasov,SALON Cosmetica Canina Brasov,Brasov
2026,1038018,dog-groomer-dumbravita,https://www.top100ofromania.eu/company/1038018/dog-groomer-dumbravita,Dog Groomer Dumbravita,Dumbrăvița
2026,1038633,frizerie-canina,https://www.top100ofromania.eu/company/1038633/frizerie-canina,Frizerie canina,Constanța
2026,1038619,frizerie-canina-bucuresti,https://www.top100ofromania.eu/company/1038619/frizerie-canina-bucuresti,Frizerie canina Bucuresti,Strada Smaranda Brăescu
2026,5727531,chic-pet-salon-boutique,https://www.top100ofromania.eu/company/5727531/chic-pet-salon-boutique,Chic Pet Salon & Boutique,București
2026,5725886,fluffy-puppy-salon,https://www.top100ofromania.eu/company/5725886/fluffy-puppy-salon,Fluffy Puppy Salon,Bragadiru
2026,7740501,frizerie-canina-tulcea-pfa-nicolae-catalin,https://www.top100ofromania.eu/company/7740501/frizerie-canina-tulcea-pfa-nicolae-catalin,Frizerie Canină Tulcea - PFA Nicolae Cătălin,Tulcea
2026,5725785,stylish-pets,https://www.top100ofromania.eu/company/5725785/stylish-pets,Stylish Pets,București
2026,5044951,sofia-pets-coafor-canin,https://www.top100ofromania.eu/company/5044951/sofia-pets-coafor-canin,Sofia Pets-Coafor canin,IaÈi
2026,5044830,bonibox-dog-grooming,https://www.top100ofromania.eu/company/5044830/bonibox-dog-grooming,BoniBox dog grooming,SfÃ¢ntu Gheorghe
2026,1040547,poly-pet-frizerie-canina-constanta,https://www.top100ofromania.eu/company/1040547/poly-pet-frizerie-canina-constanta,Poly Pet Frizerie canina Constanta,Constanța
2026,1039212,imperial-pet-styling-salon-canin,https://www.top100ofromania.eu/company/1039212/imperial-pet-styling-salon-canin,"IMPERIAL PET STYLING, SALON CANIN",Sibiu
2026,1038161,elite-dog-salon,https://www.top100ofromania.eu/company/1038161/elite-dog-salon,Elite Dog Salon,Timișoara
2026,7739367,marley-vet-cabinet-veterinar-si-cosmetica-canina,https://www.top100ofromania.eu/company/7739367/marley-vet-cabinet-veterinar-si-cosmetica-canina,Marley Vet - Cabinet Veterinar si Cosmetica,Timișoara
2026,6919627,happy-petshop-spa,https://www.top100ofromania.eu/company/6919627/happy-petshop-spa,HAPPY PETSHOP&SPA,București
2026,1035543,frizerie-canina-si-felina-la-domiciliu,https://www.top100ofromania.eu/company/1035543/frizerie-canina-si-felina-la-domiciliu,Frizerie Canina Si Felina La Domiciliu,Bucharest
2026,7738684,frizerie-canina-hope-pet,https://www.top100ofromania.eu/company/7738684/frizerie-canina-hope-pet,Frizerie canina HOPE PET,Galați
2026,7740617,scoobydee-groom,https://www.top100ofromania.eu/company/7740617/scoobydee-groom,ScoobyDee Groom,Gherla
2026,1036358,beauty-pet-mateescu-frizerie-canina-targoviste-tuns-caini-cosmetica-felina-canina-salon-canin-pet-shop-farmacie-veterinara,https://www.top100ofromania.eu/company/1036358/beauty-pet-mateescu-frizerie-canina-targoviste-tuns-caini-cosmetica-felina-canina-salon-canin-pet-shop-farmacie-veterinara,"Beauty Pet Mateescu Frizerie Canina Targoviste,",Târgoviște
2026,1041097,salon-coafura-canina-frizerie-canina-skiper,https://www.top100ofromania.eu/company/1041097/salon-coafura-canina-frizerie-canina-skiper,Salon Coafura Canina & Frizerie Canina Skiper,Oradea
2026,5728037,best-friends-frizerie-canina-si-felina-tulcea,https://www.top100ofromania.eu/company/5728037/best-friends-frizerie-canina-si-felina-tulcea,Best Friends frizerie canină și felină Tulcea,Tulcea
2026,6919880,blanissimo-toaletaj-canin-targu-mures,https://www.top100ofromania.eu/company/6919880/blanissimo-toaletaj-canin-targu-mures,Blanissimo Toaletaj Canin Târgu Mureș,Târgu Mureș
2026,1038625,frizerie-canina-los-rikys-srl,https://www.top100ofromania.eu/company/1038625/frizerie-canina-los-rikys-srl,Frizerie canina Los Rikys SRL,Strada Patriei 8b
